departamento,codigo_municipio,municipio,grupo,variable,año,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
SANTA CRUZ,71003,MINEROS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71004,FERNANDEZ ALONSO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71005,SAN PEDRO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71101,CONCEPCION,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71102,SAN JAVIER(STC),sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71103,SAN RAMON SCZ,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71104,SAN JULIAN,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71105,SAN ANTONIO DE LOMERIO,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71106,CUATRO CAÑADAS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71201,SAN MATIAS,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71301,COMARAPA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71302,SAIPINA,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71401,PUERTO SUAREZ,sospecha diagnostica,tosferina,2001,,,,,,
SANTA CRUZ,71402,PUERTO QUIJARRO,sospecha diagnostica,tosferina,2001,,,,,,
